---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample2.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2708513
'total number of distinct words'= 45744
'popular_threshold_word': 2288
'common_threshold_l_word': 21728
'common_threshold_u_word': 24016
'rare_threshold_word': 43456
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 882|          hurt|      293|
| 883|         south|      293|
| 884|           buy|      293|
| 885|     continued|      292|
| 886|          bank|      292|
| 887|        boston|      292|
| 888|       offered|      291|
| 889|  conversation|      290|
| 890|          fast|      290|
| 891|         field|      289|
| 892|       mistake|      289|
| 893|         walls|      288|
| 894|         meant|      288|
| 895|         sixty|      287|
| 896|        proper|      287|
| 897|          move|      287|
| 898|       willing|      287|
| 899|         saved|      287|
| 900|      surprise|      287|
| 901|       quarter|      286|
| 902|        nigger|      286|
| 903|          spot|      285|
| 904|      although|      285|
| 905|          meet|      285|
| 906|         brown|      285|
| 907|      pictures|      284|
| 908|       comfort|      284|
| 909|      remained|      284|
| 910|       century|      284|
| 911|         named|      283|
| 912|        author|      283|
| 913|        report|      283|
| 914|        corner|      282|
| 915|         chair|      281|
| 916|         glass|      281|
| 917|          army|      281|
| 918|         throw|      280|
| 919|         wants|      280|
| 920|          gets|      280|
| 921|        failed|      279|
| 922|        bright|      279|
| 923|         harry|      279|
| 924|    confidence|      278|
| 925|    procession|      277|
| 926|     mountains|      277|
| 927|           per|      277|
| 928|          soft|      277|
| 929|      whenever|      277|
| 930|      evidence|      276|
| 931|        remain|      276|
| 932|        spring|      276|
| 933|        health|      276|
| 934|         doesn|      275|
| 935|        bottom|      275|
| 936|         trade|      274|
| 937|       article|      274|
| 938|     forgotten|      274|
| 939|       journey|      273|
| 940|          fear|      273|
| 941|     president|      273|
| 942|       exactly|      272|
| 943|        raised|      272|
| 944|      whatever|      272|
| 945|        follow|      272|
| 946|       fashion|      271|
| 947|          west|      271|
| 948|         lives|      271|
| 949|         takes|      271|
| 950|         stock|      271|
| 951|       matters|      270|
| 952|      splendid|      270|
| 953|         level|      270|
| 954|        custom|      270|
| 955|     important|      270|
| 956|         burst|      269|
| 957|         facts|      269|
| 958|       fortune|      269|
| 959|          sell|      269|
| 960|          sold|      268|
| 961|         satan|      268|
| 962|      grateful|      267|
| 963|        sacred|      267|
| 964|           arm|      267|
| 965|         paris|      266|
| 966|        europe|      266|
| 967|         royal|      265|
| 968|        detail|      264|
| 969|      personal|      264|
| 970|           etc|      264|
| 971|      returned|      264|
| 972|          iron|      263|
| 973|          legs|      262|
| 974|    everywhere|      261|
| 975|        waited|      261|
| 976|        tongue|      261|
| 977|      occasion|      260|
| 978|       machine|      260|
| 979|          tale|      260|
| 980|         henry|      259|
| 981|         daily|      259|
| 982|          rise|      259|
| 983|         haven|      258|
| 984|          step|      258|
| 985|          fool|      258|
| 986|       senator|      257|
| 987|       imagine|      257|
| 988|         midst|      256|
| 989|         dress|      255|
| 990| circumstances|      255|
| 991|          pain|      255|
| 992|         works|      255|
| 993|         shore|      255|
| 994|  considerable|      255|
| 995|   opportunity|      254|
| 996|          pity|      254|
| 997|          drop|      254|
| 998|        figure|      253|
| 999|       touched|      253|
|1000|            em|      253|
|1001|         solid|      253|
|1002|      speaking|      253|
|1003|        winter|      253|
|1004|        indian|      252|
|1005|         twice|      252|
|1006|           box|      252|
|1007|        square|      251|
|1008|      strength|      251|
|1009|          luck|      251|
|1010|           dey|      251|
|1011|          club|      250|
|1012|     mentioned|      250|
|1013|          ruth|      250|
|1014|        happen|      249|
|1015|        stands|      249|
|1016|     otherwise|      249|
|1017|          ages|      249|
|1018|        united|      248|
|1019|    particular|      248|
|1020|         aside|      248|
|1021|         claim|      248|
|1022|     delivered|      248|
|1023|         bound|      248|
|1024|        strike|      248|
|1025|     ourselves|      247|
|1026|           ear|      247|
|1027|         grant|      247|
|1028|           san|      247|
|1029|         trust|      247|
