---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: large-sample1.txt
---------------------------------------------------------------------------------------------
'total number of words'= 4202791
'total number of distinct words'= 204786
'popular_threshold_word': 10240
'common_threshold_l_word': 97273
'common_threshold_u_word': 107513
'rare_threshold_word': 194546
---------------------------------------------------------------------------------------------

Popular Words
+-----+---------------+---------+
| Rank|           Word|Frequency|
|  530|            top|      747|
|  531|         indian|      746|
|  532|           hall|      746|
|  533|       relating|      745|
|  534|           hair|      745|
|  535|          while|      745|
|  536|        america|      741|
|  537|          value|      738|
|  538|          below|      736|
|  539|          space|      734|
|  540|     government|      734|
|  541|          cross|      729|
|  542|            ant|      729|
|  543|           tail|      729|
|  544|         second|      729|
|  545|            ism|      728|
|  546|            par|      728|
|  547|          sharp|      727|
|  548|     appearance|      726|
|  549|         itself|      726|
|  550|          cover|      725|
|  551|           keep|      723|
|  552|          plane|      719|
|  553|        portion|      719|
|  554|            mis|      717|
|  555|         effect|      715|
|  556|       division|      715|
|  557|           play|      715|
|  558|            bar|      711|
|  559|             th|      710|
|  560|          fixed|      710|
|  561|         silver|      709|
|  562|           done|      709|
|  563|           lead|      709|
|  564|           skin|      708|
|  565|         illust|      707|
|  566|           wall|      707|
|  567|        present|      705|
|  568|      generally|      704|
|  569|           last|      703|
|  570|           size|      700|
|  571|         should|      700|
|  572|          mouth|      698|
|  573|        officer|      698|
|  574|             sa|      698|
|  575|            ish|      697|
|  576|            far|      695|
|  577|  characterized|      695|
|  578|          goods|      694|
|  579|         charge|      692|
|  580|           want|      692|
|  581|         single|      691|
|  582|          night|      691|
|  583|        forming|      691|
|  584|        similar|      690|
|  585|            jer|      688|
|  586|           draw|      688|
|  587|        account|      684|
|  588|     originally|      681|
|  589|           year|      680|
|  590|         figure|      680|
|  591|           rank|      680|
|  592|          group|      678|
|  593|           type|      677|
|  594|          heavy|      675|
|  595|             lo|      673|
|  596|        chiefly|      673|
|  597|             cu|      672|
|  598|       probably|      671|
|  599|            nor|      670|
|  600|          locke|      669|
|  601|         proper|      668|
|  602|           late|      668|
|  603|           worn|      668|
|  604|         jonson|      667|
|  605|    crystalline|      667|
|  606|            run|      665|
|  607|             um|      663|
|  608|            how|      663|
|  609|      knowledge|      662|
|  610|           wild|      661|
|  611|           dark|      661|
|  612|         europe|      659|
|  613|        writing|      659|
|  614|          makes|      659|
|  615|            cor|      657|
|  616|          class|      656|
|  617|          named|      654|
|  618|            did|      654|
|  619|          stand|      652|
|  620|           leaf|      650|
|  621|            lar|      649|
|  622|          chief|      648|
|  623|         genera|      648|
|  624|         letter|      647|
|  625|        support|      647|
|  626|         middle|      645|
|  627|          still|      644|
|  628|         toward|      642|
|  629|        archaic|      642|
|  630|         knight|      642|
|  631|            due|      641|
|  632|            fly|      641|
|  633|           left|      641|
|  634|           rest|      640|
|  635|             su|      640|
|  636|    composition|      640|
|  637|           room|      639|
|  638|       strength|      639|
|  639|          plate|      639|
|  640|           eyes|      638|
|  641|       composed|      638|
|  642|           view|      637|
|  643|           thee|      637|
|  644|          taste|      636|
|  645|          speak|      633|
|  646|         length|      633|
|  647|         bodies|      633|
|  648|           show|      632|
|  649|           post|      631|
|  650|          upper|      631|
|  651|        derived|      627|
|  652|           evil|      627|
|  653|        meaning|      626|
|  654|            son|      625|
|  655|          burke|      624|
|  656|         living|      623|
|  657|          sweet|      623|
|  658|        bearing|      623|
|  659|            pen|      621|
|  660|            ill|      620|
|  661|           held|      620|
|  662|       distance|      619|
|  663|          brown|      619|
|  664|       separate|      619|
|  665|       attached|      619|
|  666|          style|      618|
|  667|       peculiar|      616|
|  668|           deep|      616|
|  669|          party|      616|
|  670|       compound|      615|
|  671|           five|      614|
|  672|           duty|      612|
|  673|        thought|      612|
|  674|           cast|      611|
|  675|             el|      611|
|  676|         french|      611|
|  677|         fuller|      610|
|  678|         engine|      610|
|  679|          truth|      610|
|  680|           east|      609|
|  681|           flat|      608|
|  682|            mon|      608|
|  683|          shape|      608|
|  684|          sides|      608|
|  685|            ist|      605|
|  686|           dead|      605|
|  687|             fi|      604|
|  688|        johnson|      603|
|  689|        whether|      602|
|  690|          clear|      601|
|  691|             se|      601|
|  692|           west|      599|
|  693|          joint|      599|
|  694|      structure|      597|
|  695|       numerous|      597|
|  696|        produce|      595|
|  697|         flower|      593|
|  698|          dress|      592|
|  699|           call|      592|
|  700|         placed|      591|
|  701|            gas|      591|
|  702|          front|      591|
|  703|             hy|      589|
|  704|          break|      587|
|  705|             pi|      587|
|  706|            yet|      586|
|  707|          graph|      586|
|  708|             dr|      586|
|  709|         double|      585|
