---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-d.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2902023
'total number of distinct words'= 59165
'popular_threshold_word': 2959
'common_threshold_l_word': 28103
'common_threshold_u_word': 31062
'rare_threshold_word': 56206
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 550|         family|      538|
| 551|           feet|      538|
| 552|          wrong|      538|
| 553|           held|      537|
| 554|           gold|      536|
| 555|         really|      535|
| 556|           girl|      535|
| 557|           talk|      534|
| 558|          marry|      533|
| 559|          spoke|      532|
| 560|           fell|      532|
| 561|          ready|      531|
| 562|        opinion|      528|
| 563|        purpose|      528|
| 564|          happy|      527|
| 565|           kept|      526|
| 566|            arm|      521|
| 567|           deep|      521|
| 568|          hence|      521|
| 569|           ahab|      519|
| 570|            met|      517|
| 571|           rome|      517|
| 572|          watch|      516|
| 573|          story|      516|
| 574|       thoughts|      513|
| 575|          music|      511|
| 576|        greater|      507|
| 577|          union|      507|
| 578|        natural|      506|
| 579|          force|      506|
| 580|           hair|      505|
| 581|      character|      504|
| 582|           idea|      503|
| 583|         united|      503|
| 584|          sleep|      502|
| 585|         brutus|      501|
| 586|           dost|      499|
| 587|        company|      499|
| 588|           pass|      495|
| 589|           able|      495|
| 590|            cut|      494|
| 591|            sat|      493|
| 592|     foundation|      493|
| 593|           past|      491|
| 594|           unto|      490|
| 595|        replied|      490|
| 596|        hundred|      489|
| 597|      authority|      486|
| 598|         twenty|      485|
| 599|       national|      485|
| 600|         school|      484|
| 601|           evil|      483|
| 602|           late|      480|
| 603|         wonder|      479|
| 604|          knows|      479|
| 605|          false|      478|
| 606|       possible|      475|
| 607|          tears|      475|
| 608|        charles|      475|
| 609|          mouth|      474|
| 610|        service|      473|
| 611|          hours|      473|
| 612|           foot|      470|
| 613|             oh|      469|
| 614|        married|      469|
| 615|         living|      467|
| 616|         silver|      467|
| 617|         virtue|      466|
| 618|            low|      464|
| 619|            cry|      463|
| 620|        welcome|      462|
| 621|          alice|      462|
| 622|           mark|      461|
| 623|         powers|      458|
| 624|         unless|      456|
| 625|         sister|      455|
| 626|           send|      454|
| 627|           line|      453|
| 628|          lives|      453|
| 629|       strength|      452|
| 630|             de|      452|
| 631|      gentlemen|      451|
| 632|         breath|      451|
| 633|         beyond|      450|
| 634|         saying|      450|
| 635|            sit|      449|
| 636|           boat|      448|
| 637|           kill|      448|
| 638|          sword|      448|
| 639|           fine|      447|
| 640|         during|      446|
| 641|          thank|      446|
| 642|          worth|      445|
| 643|        besides|      444|
| 644|            dog|      443|
| 645|         edward|      443|
| 646|         charge|      442|
| 647|          shame|      442|
| 648|          fight|      441|
| 649|           lips|      440|
| 650|           news|      440|
| 651|      political|      440|
| 652|           laid|      439|
| 653|          crown|      439|
| 654|       marriage|      438|
| 655|         longer|      437|
| 656|        respect|      437|
| 657|           rich|      435|
| 658|     electronic|      434|
| 659|          clear|      433|
| 660|           died|      433|
| 661|        forward|      433|
| 662|      necessary|      433|
| 663|         honest|      431|
| 664|          royal|      430|
| 665|     understand|      429|
| 666|         became|      429|
| 667|           save|      428|
| 668|        warwick|      428|
| 669|            mad|      427|
| 670|           ring|      427|
| 671|       received|      425|
| 672|       citizens|      424|
| 673|          bound|      424|
| 674|        feeling|      424|
| 675|          heavy|      423|
| 676|        quickly|      422|
| 677|       farewell|      422|
| 678|      influence|      422|
| 679|          doing|      422|
| 680|         morrow|      421|
| 681|           draw|      420|
| 682|          later|      420|
| 683|         london|      419|
| 684|          wrote|      419|
| 685|          learn|      418|
| 686|          break|      418|
| 687|           rose|      417|
| 688|          paper|      417|
| 689|         single|      416|
| 690|        citizen|      416|
| 691|            pay|      415|
| 692|         appear|      415|
| 693|         danger|      415|
| 694|        letters|      414|
| 695|         speech|      414|
| 696|            six|      413|
| 697|            try|      412|
| 698|          touch|      411|
| 699|          truly|      410|
| 700|          looks|      410|
| 701|           walk|      410|
| 702|           wild|      410|
| 703|      beautiful|      410|
| 704|             ah|      410|
| 705|            bid|      408|
| 706|           goes|      407|
| 707|       followed|      407|
| 708|           wise|      404|
| 709|           real|      404|
| 710|          plain|      404|
| 711|          devil|      404|
| 712|          worse|      403|
| 713|         taking|      403|
| 714|           boys|      402|
| 715|        picture|      402|
| 716|           seek|      402|
| 717|          prove|      402|
| 718|       pictures|      401|
| 719|           town|      401|
| 720|      messenger|      398|
| 721|          early|      398|
| 722|          table|      398|
| 723|           lies|      397|
| 724|          paris|      396|
| 725|           easy|      394|
| 726|         effect|      393|
| 727|          lived|      392|
| 728|           pity|      392|
| 729|        history|      392|
| 730|       answered|      390|
| 731|            hot|      390|
| 732|           peel|      390|
| 733|          plato|      389|
| 734|          green|      388|
| 735|         figure|      388|
| 736|          field|      388|
| 737|         pardon|      387|
| 738|          yours|      387|
| 739|        learned|      386|
| 740|          drink|      384|
| 741|            ear|      383|
| 742|        private|      383|
| 743|         hardly|      383|
| 744|           mere|      382|
| 745|       greatest|      381|
| 746|           jane|      381|
| 747|         bloody|      381|
| 748|          heads|      381|
| 749|             ii|      381|
| 750|      principle|      381|
| 751|            won|      380|
| 752|           road|      379|
| 753|            big|      378|
| 754|           wilt|      378|
| 755|         except|      378|
| 756|            sad|      377|
| 757|          grave|      377|
| 758|          trust|      377|
| 759|           fast|      376|
| 760|        carried|      375|
| 761|         object|      375|
| 762|           bill|      374|
| 763|            joy|      373|
| 764|         degree|      373|
| 765|          loved|      372|
| 766|      rochester|      371|
| 767|          lorry|      370|
| 768|         pretty|      369|
| 769|         window|      369|
| 770|        evening|      369|
| 771|         former|      369|
| 772|           ears|      367|
| 773|           sake|      367|
| 774|          clown|      367|
| 775|           dare|      366|
| 776|           iago|      366|
| 777|         struck|      366|
| 778|         proper|      365|
| 779|       straight|      365|
| 780|        majesty|      364|
| 781|         bright|      362|
| 782|           paid|      362|
| 783|          parts|      362|
| 784|       standing|      361|
| 785|         worthy|      361|
| 786|        federal|      360|
| 787|       returned|      358|
| 788|        soldier|      357|
| 789|          proud|      357|
| 790|            led|      356|
| 791|           note|      356|
| 792|         chance|      355|
| 793|           holy|      354|
| 794|          uncle|      354|
| 795|         ladies|      353|
| 796|            eat|      353|
| 797|     everything|      352|
| 798|        silence|      352|
| 799|           lose|      349|
| 800|            ran|      349|
| 801|          timon|      349|
| 802|        members|      348|
| 803|          shalt|      347|
| 804|       whatever|      347|
| 805|         latter|      346|
| 806|         wanted|      345|
| 807|         around|      343|
| 808|          below|      343|
| 809|        foreign|      343|
| 810|          drawn|      343|
| 811|          march|      343|
| 812|        trouble|      342|
| 813|         simple|      341|
| 814|           wall|      341|
| 815|            fit|      341|
| 816|           glad|      341|
| 817|           kiss|      341|
| 818|            fly|      340|
| 819|           blue|      340|
| 820|        account|      339|
| 821|         likely|      339|
| 822|        othello|      339|
| 823|        liberty|      339|
| 824|       speaking|      339|
| 825|          added|      337|
| 826|         hither|      337|
| 827|           grow|      337|
| 828|         future|      337|
| 829|         action|      335|
| 830|             em|      335|
| 831|        painter|      334|
| 832|          write|      333|
| 833|          swear|      333|
| 834|  circumstances|      332|
| 835|        written|      332|
| 836|        command|      331|
| 837|            wit|      331|
| 838|          quiet|      330|
| 839|         sorrow|      330|
| 840|           hall|      330|
| 841|       position|      329|
| 842|       although|      327|
| 843|           wine|      326|
| 844|          moved|      325|
| 845|         across|      325|
| 846|          seven|      324|
| 847|         cousin|      324|
| 848|             ha|      324|
| 849|          chief|      323|
| 850|        passion|      322|
| 851|          gives|      322|
| 852|          romeo|      322|
| 853|       soldiers|      321|
| 854|         george|      321|
| 855|        measure|      321|
| 856|      cleopatra|      321|
| 857|         hearts|      320|
| 858|        instead|      319|
| 859|          grief|      319|
| 860|           sons|      318|
