---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-f.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2915891
'total number of distinct words'= 46748
'popular_threshold_word': 2338
'common_threshold_l_word': 22205
'common_threshold_u_word': 24543
'rare_threshold_word': 44410
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 458|        coming|      664|
| 459|       husband|      662|
| 460|          hour|      661|
| 461|          aunt|      656|
| 462|            de|      655|
| 463|         spake|      652|
| 464|         egypt|      651|
| 465|         large|      649|
| 466|        priest|      649|
| 467|          sure|      647|
| 468|        sister|      644|
| 469|       fathers|      637|
| 470|      business|      635|
| 471|         truth|      634|
| 472|      returned|      633|
| 473|          ship|      628|
| 474|           big|      626|
| 475|        letter|      625|
| 476|        ground|      625|
| 477|       already|      620|
| 478|           met|      617|
| 479|         sword|      615|
| 480|         ready|      612|
| 481|          hope|      612|
| 482|          care|      608|
| 483|        wanted|      607|
| 484|       clothes|      607|
| 485|      daughter|      603|
| 486|     commanded|      602|
| 487|        laurie|      599|
| 488|         means|      598|
| 489|          held|      597|
| 490|       feeling|      597|
| 491|         judge|      595|
| 492|    everything|      594|
| 493|      pleasure|      594|
| 494|        making|      590|
| 495|          miss|      587|
| 496|        christ|      586|
| 497|        became|      585|
| 498|        pretty|      583|
| 499|        except|      583|
| 500|          else|      583|
| 501|        places|      582|
| 502|        nearly|      582|
| 503|          boat|      578|
| 504|           die|      578|
| 505|        behind|      573|
| 506|     agreement|      572|
| 507|          dark|      572|
| 508|        indeed|      568|
| 509|         tried|      565|
| 510|         early|      565|
| 511|        united|      563|
| 512|        become|      563|
| 513|        silver|      562|
| 514|         chief|      559|
| 515|        street|      559|
| 516|     authority|      558|
| 517|          boys|      556|
| 518|            re|      555|
| 519|         girls|      554|
| 520|         table|      554|
| 521|        office|      554|
| 522|        desire|      554|
| 523|          send|      551|
| 524|          died|      551|
| 525|       opinion|      550|
| 526|       carried|      549|
| 527|         kings|      549|
| 528|       persons|      548|
| 529|          less|      546|
| 530|          lost|      545|
| 531|           ask|      544|
| 532|           ain|      544|
| 533|         field|      543|
| 534|          talk|      543|
| 535|        wealth|      542|
| 536|          wish|      541|
| 537|         ought|      540|
| 538|         doing|      540|
| 539|         drink|      539|
| 540|           air|      539|
| 541|        church|      537|
| 542|          fact|      530|
| 543|        answer|      529|
| 544|         black|      528|
| 545|         bread|      526|
| 546|          fall|      525|
| 547|          sort|      524|
| 548|     necessary|      524|
| 549|       account|      523|
| 550|       kingdom|      523|
| 551|        opened|      522|
| 552|           sun|      520|
| 553|         close|      519|
| 554|        seeing|      518|
| 555|      strength|      517|
| 556|       service|      514|
| 557|          mean|      514|
| 558|          town|      514|
| 559|        really|      513|
| 560|         flesh|      511|
| 561|      remember|      510|
| 562|      followed|      510|
| 563|        walked|      509|
| 564|         whale|      508|
| 565|         spoke|      507|
| 566|      brethren|      506|
| 567|       priests|      506|
| 568|           sir|      505|
| 569|       getting|      504|
| 570|    concerning|      504|
| 571|        cities|      504|
| 572|         short|      503|
| 573|        living|      502|
| 574|         court|      501|
| 575|          mary|      500|
| 576|           sin|      499|
| 577|    understand|      498|
| 578|       society|      497|
| 579|       trouble|      497|
| 580|     soveraign|      497|
| 581|        during|      496|
| 582|         least|      493|
| 583|        afraid|      492|
| 584|          save|      491|
| 585|          bear|      490|
| 586|         later|      490|
| 587|        wicked|      490|
| 588|        speech|      489|
| 589|          gods|      489|
| 590|         lived|      488|
| 591|          form|      486|
| 592|          arms|      486|
| 593|          fine|      485|
| 594|        thirty|      484|
| 595|        prince|      484|
| 596|         story|      481|
| 597|        charge|      481|
| 598|       license|      481|
| 599|           run|      479|
| 600|    afterwards|      478|
| 601|     following|      475|
| 602|        battle|      471|
| 603|          meet|      470|
| 604|     different|      470|
| 605|           try|      470|
| 606|       evening|      470|
| 607|     knowledge|      469|
| 608|        spoken|      468|
| 609|          walk|      467|
| 610|          beth|      467|
| 611|          paid|      466|
| 612|         sense|      466|
| 613|          line|      464|
| 614|       liberty|      463|
| 615|         march|      463|
| 616|           ran|      462|
| 617|        mighty|      460|
| 618|           pay|      459|
| 619|          saul|      459|
| 620|           age|      458|
| 621|          glad|      458|
| 622|         wrote|      456|
| 623|      standing|      456|
| 624|           jim|      455|
| 625|         third|      454|
| 626|        minute|      453|
| 627|      judgment|      453|
| 628|        taking|      452|
| 629|          need|      452|
| 630|         glory|      451|
| 631|           act|      451|
| 632|           cry|      450|
| 633|       nations|      447|
| 634|        please|      447|
| 635|          foot|      446|
| 636|         sleep|      445|
| 637|       command|      443|
| 638|       company|      443|
| 639|       married|      442|
| 640|          show|      442|
| 641|          wise|      440|
| 642|          pray|      439|
| 643|          copy|      439|
| 644|          seem|      438|
| 645|         force|      437|
| 646|         quiet|      433|
| 647|         happy|      433|
| 648|         midst|      432|
| 649|       receive|      432|
| 650|       strange|      431|
| 651|          ways|      431|
| 652|          army|      430|
| 653|       towards|      429|
| 654|       stopped|      427|
| 655|         bound|      427|
| 656|         point|      425|
| 657|          born|      425|
| 658|      gathered|      424|
| 659|           eye|      424|
