---------------------------------------------------------------------------------------------
SID: 1824482
Output for file: sample-g.txt
---------------------------------------------------------------------------------------------
'total number of words'= 2065860
'total number of distinct words'= 38309
'popular_threshold_word': 1916
'common_threshold_l_word': 18196
'common_threshold_u_word': 20113
'rare_threshold_word': 36393
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 969|  acquaintance|      213|
| 970|       revenge|      213|
| 971|          base|      213|
| 972|         equal|      212|
| 973|        strike|      212|
| 974|         taste|      212|
| 975|      bardolph|      212|
| 976|         yield|      211|
| 977|        pompey|      211|
| 978|         noise|      211|
| 979|     according|      211|
| 980|          died|      211|
| 981|        remain|      211|
| 982|      clarence|      211|
| 983|         dress|      210|
| 984|          sing|      210|
| 985|     character|      210|
| 986|        battle|      210|
| 987|         flesh|      210|
| 988|     rocinante|      210|
| 989|          safe|      209|
| 990|   opportunity|      209|
| 991|        number|      209|
| 992|         deeds|      208|
| 993|       warrant|      208|
| 994|        juliet|      208|
| 995|          toby|      208|
| 996|           inn|      207|
| 997|         merry|      207|
| 998|         early|      207|
| 999|       kingdom|      207|
|1000|     adventure|      207|
|1001|          sons|      207|
|1002|         friar|      207|
|1003|        arcite|      207|
|1004|         pride|      206|
|1005|        suffer|      206|
|1006|         brave|      206|
|1007|          drew|      206|
|1008|          shut|      206|
|1009|        forget|      206|
|1010|       bastard|      205|
|1011|            ve|      204|
|1012|       citizen|      204|
|1013|        notice|      204|
|1014|          host|      203|
|1015|      standing|      203|
|1016|          gain|      203|
|1017|         quick|      202|
|1018|       sitting|      202|
|1019|     companion|      202|
|1020|      benedick|      202|
|1021|        report|      202|
|1022|          oath|      201|
|1023|      creature|      201|
|1024|       reached|      201|
|1025|       talking|      201|
|1026|        likely|      201|
|1027|         angry|      201|
|1028|          deny|      201|
|1029|           yea|      201|
|1030|         bosom|      200|
|1031|     agreement|      200|
|1032|        mighty|      199|
|1033|       deliver|      199|
|1034|          bold|      198|
|1035|          grow|      198|
|1036|      kindness|      198|
|1037|         cross|      197|
|1038|          weak|      197|
|1039|       berowne|      197|
|1040|       manners|      196|
|1041|       calling|      196|
|1042|     beautiful|      196|
|1043|      judgment|      196|
|1044|        pistol|      196|
|1045|       fashion|      196|
|1046|      shepherd|      196|
|1047|           woe|      196|
|1048|      menenius|      196|
|1049|        attend|      195|
|1050|       meaning|      195|
|1051|        length|      195|
|1052|       leaving|      195|
|1053|       leonato|      195|
|1054|          dull|      194|
|1055|          harm|      194|
|1056|       changed|      194|
|1057|          wild|      194|
|1058|       delight|      194|
|1059|  satisfaction|      194|
|1060|          kent|      194|
|1061|        helena|      194|
|1062|       waiting|      193|
|1063|          deed|      193|
|1064|         clock|      193|
|1065|        became|      193|
|1066|        single|      192|
|1067|      interest|      192|
|1068|        humour|      192|
|1069|      pandarus|      192|
|1070|      expected|      192|
|1071|    acquainted|      191|
|1072|        joseph|      191|
|1073|    attendants|      191|
|1074|      resolved|      191|
|1075|          anne|      190|
|1076|        stands|      190|
|1077|        silent|      190|
|1078|       consent|      190|
|1079|        spoken|      189|
|1080|        wealth|      189|
|1081|         grant|      189|
|1082|          rise|      189|
|1083|       conduct|      189|
|1084|         tried|      188|
|1085|       witness|      188|
|1086|          hurt|      188|
|1087|        broken|      188|
|1088|      directly|      188|
|1089|         reply|      188|
|1090|       instead|      187|
|1091|         dream|      187|
